"X_id","Source_ID","Study_number","Site_number","SS","SSB","SSBS","SSS","Country","Longitd","Latitud","Diversity_metric_type","Predominant_habitat","LU_3","UseIntensity","Sample_start_earliest","Realm","Zone","taxon_of_interest","Total_abundance","log_abundance","Species_richness","Richness_rarefied","CWM_Geographic_range_log10_square_km","range","PropWithData_Geographic_range_log10_square_km","Within_PA","PA","LUPA","IUCN_CAT","IUCN_CAT_number","GIS_AREA","STATUS_YR","DoP","log_AREA_PA","AREA_DoP","elevation","slope","ag_suit","log_slope","log_elevation","multiple_taxa","matched_landuse","hf00","hf05","hf10","hf13","hf09","npp"
27,"AD1_2006__Diekoetter",1,15,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 15","AD1_2006__Diekoetter 1 15 Invertebrates","Germany",8.832262073,50.80755706,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",220.5,1.753059,5,1.012712657,5.400422589,"yes","yes",30,29.5,32,29.5,20.3394660949707,108.3571434021
28,"AD1_2006__Diekoetter",1,16,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 16","AD1_2006__Diekoetter 1 16 Invertebrates","Germany",8.839355491,50.80756701,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",212.5,0.772099,5,0.57216472,5.363636833,"yes","yes",29,28.5,31.5,29,20.0959815979004,108.3571434021
29,"AD1_2006__Diekoetter",1,17,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 17","AD1_2006__Diekoetter 1 17 Invertebrates","Germany",8.860622453,50.81208885,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",210,0.92645,5,0.655678931,5.351858133,"yes","yes",28,27,30,26.5,19.5269832611084,107.714286804199
30,"AD1_2006__Diekoetter",1,18,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 18","AD1_2006__Diekoetter 1 18 Invertebrates","Germany",8.867716566,50.81209707,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"yes","IN","IN Cropland",7,7,13.20144892,NA,NA,2.653343996,"outside",200,0.582322,5,0.458893388,5.303304908,"yes","yes",27,27,30,26,19.6042346954346,107.714286804199
31,"AD1_2006__Diekoetter",1,19,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 19","AD1_2006__Diekoetter 1 19 Invertebrates","Germany",8.860635769,50.80759426,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",2,1.098612289,1,1,6.043253035,6.043253035,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",207.5,0.428662,5,0.356738342,5.339939041,"yes","yes",28,27,30,26.5,19.6814861297607,108.3571434021
32,"AD1_2006__Diekoetter",1,20,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 20","AD1_2006__Diekoetter 1 20 Invertebrates","Germany",8.867729201,50.80760248,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.043253035,6.043253035,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",210.5,0.519904,5,0.418647175,5.354224998,"yes","yes",27.5,27,30,26,19.6814861297607,108.3571434021
33,"AD1_2006__Diekoetter",1,21,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 21","AD1_2006__Diekoetter 1 21 Invertebrates","Germany",8.888998926,50.81211914,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.043253035,6.043253035,1,"yes","IN","IN Cropland",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",193.5,0.308086,8,0.268565,5.270432163,"yes","yes",23.5,23.5,34,22.5,22,108.771430969238
34,"AD1_2006__Diekoetter",1,22,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 22","AD1_2006__Diekoetter 1 22 Invertebrates","Germany",8.896093051,50.81212564,"Abundance","Pasture","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",4,1.609437912,1,1,6.08133085,6.08133085,1,"yes","IN","IN Pasture",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",193,0.429381,8,0.357241483,5.267858159,"yes","no",24,24,34,23,22,108.771430969238
35,"AD1_2006__Diekoetter",1,24,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 24","AD1_2006__Diekoetter 1 24 Invertebrates","Germany",8.896102963,50.80763105,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"yes","IN","IN Cropland",4.5,4.5,56.580508,NA,NA,4.053184108,"outside",197.5,1.293349,8,0.830013195,5.2907891,"yes","yes",24,24,34,24,21.3394660949707,108.82857131958
36,"AD1_2006__Diekoetter",1,26,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 26","AD1_2006__Diekoetter 1 26 Invertebrates","Germany",8.825185374,50.8030521,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",248,2.95599,5,1.375230886,5.517452896,"yes","yes",30,29.5,33.5,29.5,20.3050022125244,108.3571434021
37,"AD1_2006__Diekoetter",1,28,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 28","AD1_2006__Diekoetter 1 28 Invertebrates","Germany",8.825202085,50.79855751,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",269,3.47777,5,1.499125155,5.598421959,"yes","yes",30.5,30,32,30.5,21.2575073242188,108.3571434021
38,"AD1_2006__Diekoetter",1,29,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 29","AD1_2006__Diekoetter 1 29 Invertebrates","Germany",8.846463587,50.80308193,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.043253035,6.043253035,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",212.5,0.772099,5,0.57216472,5.363636833,"yes","yes",28.5,28,31,28,19.6042346954346,108.3571434021
39,"AD1_2006__Diekoetter",1,30,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 30","AD1_2006__Diekoetter 1 30 Invertebrates","Germany",8.853556332,50.80309101,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",207.5,0.428662,5,0.356738342,5.339939041,"yes","yes",28,27,30,27,19.5269832611084,108.3571434021
40,"AD1_2006__Diekoetter",1,31,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 31","AD1_2006__Diekoetter 1 31 Invertebrates","Germany",8.846478256,50.79858734,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",210,0.296079,5,0.259343553,5.351858133,"yes","yes",29,29,31,28.5,19.5269832611084,108.3571434021
41,"AD1_2006__Diekoetter",1,32,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 32","AD1_2006__Diekoetter 1 32 Invertebrates","Germany",8.853570321,50.79859642,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",213.5,0.270767,5,0.239620655,5.368309738,"yes","yes",28.5,28.5,30,27.5,19.4367008209229,108.3571434021
42,"AD1_2006__Diekoetter",1,33,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 33","AD1_2006__Diekoetter 1 33 Invertebrates","Germany",8.874834588,50.80311567,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",209,0.699163,5,0.530135777,5.347107531,"yes","yes",27,27,29,26,19.5269832611084,108.3571434021
43,"AD1_2006__Diekoetter",1,34,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 34","AD1_2006__Diekoetter 1 34 Invertebrates","Germany",8.881927347,50.80312303,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",1,0.693147181,1,1,6.08133085,6.08133085,1,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",209,0.699163,8,0.530135777,5.347107531,"yes","yes",26,27,30,24,19.8524971008301,108.3571434021
44,"AD1_2006__Diekoetter",1,35,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 35","AD1_2006__Diekoetter 1 35 Invertebrates","Germany",8.874846536,50.79862107,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",213.5,0.524107,5,0.421408665,5.368309738,"yes","yes",27,27,29,26,19.6042346954346,108.3571434021
45,"AD1_2006__Diekoetter",1,36,"AD1_2006__Diekoetter 1 Invertebrates","AD1_2006__Diekoetter 1 Invertebrates NA","AD1_2006__Diekoetter 1 Invertebrates NA 36","AD1_2006__Diekoetter 1 36 Invertebrates","Germany",8.881938614,50.79862843,"Abundance","Cropland","Human_dominated","Intense use","01/06/2001","Palearctic","Temperate","Invertebrates",0,0,0,0,NA,NA,NA,"no","OUT","OUT Cropland",0,NA,0,NA,NA,0,"outside",213.5,0.524107,8,0.421408665,5.368309738,"yes","yes",27,27,30,26,19.8524971008301,108.3571434021
