countrynum,statenum,Route,RouteName,Active,Latitude,Longitude,Stratum,BCR,LandTypeID,RouteTypeID,RouteTypeDetailId,RtCode,area.buff,area.PA.TOT,prop.PA.TOT,area.PA.I.IV,prop.PA.I.IV,Alt_mean,mainoccG,sp_richness.NONNAT,abundance.NONNAT,sp_richness,abundance,hf00,hf05,hf10,hf13,hf09,npp,Alt_mean2
840,14,155,WESTLEY,1,37.5141365,-121.1597352,91,32,0,1,1,14_155,5682853.41,0,0,0,0,19.4,Herb,23,374,19,337,24,23,23,23,10.1752792,2.080708742,376.36
840,14,156,TUOLUMNE GROVE,1,37.7472667,-119.8035199,66,15,0,1,1,14_156,5209631.322,5209631.206,0.999999978,5209631.206,0.999999978,1837.857143,For,27,288,27,288,8,8,8,8,9.333333333,2.811515808,3377718.878
840,14,158,SATTLEY,1,39.6153759,-120.4258218,85,15,0,1,1,14_158,4516124.83,0,0,0,0,1523,Herb,37,466,35,453,8,8,8,8,5.349489331,2.04625988,2319529
840,14,159,OROVILLE,1,39.4978958,-121.6093062,91,32,0,1,1,14_159,4954393.913,444199.8364,0.089657755,0,0,53.77777778,Herb,23,281,21,260,18,16,19,17,19.01859903,2.077940464,2892.049383
840,14,16,RIOVISTA,1,38.0878897,-121.7519384,91,32,0,1,1,14_16,5106855.206,0,0,0,0,40.88888889,Herb,14,193,13,190,18,16,16,17,10.01162418,2.449495554,1671.901235
840,14,160,LONGVALE,1,39.5664857,-123.3982919,93,5,0,1,1,14_160,4815081.606,0,0,0,0,420.5,For,32,253,32,253,18,18,18,18,18.375,4.398006916,176820.25
840,14,161,TEHAMA,1,40.3357087,-121.9157259,92,32,0,1,1,14_161,5504861.33,1052919.441,0.191270838,0,0,598.7777778,Shrub,41,324,38,258,8,8,8,8,5.364248037,2.548843503,358534.8272
840,14,162,HONEY LAKE,1,40.4932903,-120.1080006,89,9,0,1,1,14_162,4056959.838,0,0,0,0,1448,Shrub,16,191,16,191,9,9,9,9,1.250451684,0.661540329,2096704
840,14,165,DAVIS CREEK,1,41.7332787,-120.3753129,85,9,0,1,1,14_165,4355004.57,0,0,0,0,1454.875,Herb,28,499,26,468,15,15,15,15,13.6,1.933070898,2116661.266
840,14,166,DORRIS,1,41.9998861,-121.8916067,85,9,0,1,1,14_166,4377035.504,2021709.525,0.461890136,1971496.682,0.450418252,1263.333333,Herb,27,426,27,426,8,8,8,8,7.4,1.306840539,1596011.111
840,14,168,MACDOEL,1,41.8224004,-122.0111142,85,9,0,1,1,14_168,4371864.07,0,0,0,0,1287.5,Herb,29,543,26,476,15.5,15.5,15.5,15.5,4.384037638,0.999876976,1657656.25
840,14,169,MCCLOUD,1,41.2323207,-122.1355519,85,5,0,1,1,14_169,4903171.683,350150.5426,0.07141307,0,0,1006.625,For,37,292,37,292,16,15,13,13,9,3.306102276,1013293.891
840,14,175,MT SHASTA,1,41.4000979,-122.0499734,85,5,0,1,1,14_175,4446958.687,0,0,0,0,1653.428571,For,29,207,29,207,8,8,8,8,0,2.49624753,2733826.041
840,14,179,YOLLA BOLLY,1,40.0279597,-122.6387259,92,32,0,1,1,14_179,5684521.012,0,0,0,0,483.3333333,Shrub,19,218,19,218,8,8,8,8,2,2.196665764,233611.1111
840,14,18,DARDANELLE,1,38.3432387,-119.8362579,66,15,0,1,1,14_18,4705386.581,0,0,0,0,1799,For,20,139,20,139,8,8,8,8,10,1.392039835,3236401
840,14,181,GENESEE,1,40.2017613,-120.623502,66,15,0,1,1,14_181,4980678.518,0,0,0,0,1586.25,For,33,583,33,583,8,8,8,8,1,2.325848937,2516189.063
840,14,182,LAYTONVILLE,1,39.6878368,-123.484892,93,5,0,1,1,14_182,5514307.917,0,0,0,0,519.375,Herb,38,229,38,229,17,13,14,14,4.595722392,4.491510868,269750.3906
840,14,185,DOWNIEVILLE,1,39.5602197,-120.8280109,66,15,0,1,1,14_185,5132048.628,0,0,0,0,1146.5,For,26,304,26,304,9,8,8,8,8.333333333,3.58968997,1314462.25
840,14,186,MARK WEST,1,38.5498734,-122.719303,92,32,0,1,1,14_186,4784204.214,0,0,0,0,207.1428571,For,34,346,34,346,22,22,21,22,11.17539756,3.947096586,42908.16327
840,14,188,RIVERTON,1,38.7694117,-120.4473869,66,15,0,1,1,14_188,6114880.868,0,0,0,0,1264.125,For,32,238,32,238,8,8,8,8,8,3.368233204,1598012.016
840,14,189,COYOTE,1,37.2521703,-121.6774341,92,32,0,1,1,14_189,6535990.677,945802.1717,0.144706781,0,0,336.5,Herb,33,429,33,429,20,19,15,13,9.163161099,3.629982829,113232.25
840,14,190,COPPEROPOLIS,1,37.9834939,-120.6452578,92,32,0,1,1,14_190,5033479.669,0,0,0,0,298.2222222,Herb,30,334,28,317,18,17,18,18.5,12.76345356,2.459645748,88936.49383
840,14,193,BODEGA BAY,1,38.3407717,-123.0480649,93,5,0,1,1,14_193,4488743.017,248327.447,0.055322269,0,0,25.33333333,Herb,30,299,28,290,16,16,16,16,13.89426517,4.879675388,641.7777778
840,14,194,WATERMAN GAP,1,37.2115267,-122.1565019,93,32,0,1,1,14_194,8038152.573,2648025.818,0.329432142,0,0,460.6666667,For,20,216,20,216,13,10,11,10,8.668693172,6.040887515,212213.7778
840,14,195,GREENFIELD,1,36.257393,-121.4234494,92,32,0,1,1,14_195,4930818.447,777580.7113,0.157698102,0,0,323.3333333,Herb,31,272,29,263,12,12,12,12,6.156250477,2.634965539,104544.4444
840,14,198,YREKA,1,41.7401687,-122.6334149,85,5,0,1,1,14_198,4896809.08,0,0,0,0,794.5,Herb,33,400,30,305,33.5,33.5,30,31,26.52840137,1.603038847,631230.25
840,14,199,BARTLE,1,41.2528113,-121.8238479,85,9,0,1,1,14_199,4570869.869,0,0,0,0,1228.25,For,30,273,30,273,8,8,8,8,7.56287469,3.064960599,1508598.063
840,14,205,LAKESHORE,1,37.2556212,-119.1614638,66,15,0,1,1,14_205,4833047.351,41897.25758,0.008668911,41897.25758,0.008668911,2234.714286,For,31,369,31,369,8,8,8,8,4.496409118,1.874323308,4993947.939
840,14,21,HUGHSON,1,37.5947824,-120.860951,91,32,0,1,1,14_21,4558736.973,0,0,0,0,37.83333333,Herb,21,358,18,275,33,33,33,33,25.48535029,2.088090539,1431.361111
840,14,221,CLEVELAND NF,1,32.92408,-116.48047,92,32,0,1,1,14_221,6525552.808,0,0,0,0,1642.285714,For,24,253,24,253,8,8,8,8,2.252714843,1.087229341,2697102.367
840,14,226,ANZA 2,1,33.5014318,-116.7979649,90,32,0,1,1,14_226,5618102.455,0,0,0,0,1009.833333,Herb,33,219,31,215,13,13,13,13,9.5,1.05170396,1019763.361
840,14,302,GLEN ELLEN 2,1,38.3796305,-122.5109615,92,32,0,1,1,14_302,5852451.705,134741.233,0.023023041,0,0,355.25,For,36,241,36,241,13,11,11,11,9.86575979,3.868766387,126202.5625
840,14,308,CHAOS CRATER,1,40.4976057,-121.4282989,66,15,0,1,1,14_308,5416148.922,5416148.832,0.999999983,5416148.832,0.999999983,1993.25,For,19,184,19,184,8,8,8,8,9,1.918307066,3973045.563
840,14,319,PESCADERO,1,37.1650627,-122.2276839,93,32,0,1,1,14_319,7784555.425,7726162.969,0.992498935,0,0,367.3636364,For,24,266,24,266,8,8,8,8,3.499412166,6.115834236,134956.0413
840,14,32,PARKFIELD,1,35.8086777,-120.5305939,92,32,0,1,1,14_32,4457730.006,0,0,0,0,432.5714286,Herb,20,246,18,227,12,12,12,12,4.000005817,1.67562747,187118.0408
840,14,341,CAL HOT SPGS,1,35.89089,-118.85004,92,32,0,1,1,14_341,5532352.59,0,0,0,0,449.5,Mosaic,22,283,20,274,9.5,9.5,9.5,9.5,2.857142857,1.970595479,202050.25
840,14,352,STATEN IS.,1,38.1231944,-121.525076,91,32,0,1,1,14_352,8408423.605,3984644.237,0.47388719,0,0,1.7,Herb,22,648,20,612,17,15.5,17,16,7.558126402,1.765440464,2.89
840,14,357,POLOMA,1,38.3539344,-120.6797897,92,32,0,1,1,14_357,8862413.817,0,0,0,0,536.0833333,For,19,136,19,136,15,14,15,15,7.744745645,3.517101407,287385.3403
840,14,37,VALLEY WELLS,1,35.473722,-115.7029053,83,33,0,1,1,14_37,12750254.12,12245977.62,0.96044969,0,0,1112.444444,Shrub,12,103,12,103,10,10,10,10.5,5.087825775,0.260457675,1237532.642
840,14,406,TIONESTA,1,41.6708967,-121.2574609,85,9,0,1,1,14_406,6279252.142,0,0,0,0,1262.375,Shrub,30,250,29,249,8,8,8,8,4.051000878,0.782111208,1593590.641
840,14,407,CROWDER FLAT,1,41.8699632,-120.5011538,85,9,0,1,1,14_407,5023767.571,0,0,0,0,1523.25,For,32,157,32,157,8,8,8,8,1.250055283,1.170275629,2320290.563
840,14,408,MADELINE,1,41.0534621,-120.4745547,85,9,0,1,1,14_408,4399282.363,0,0,0,0,1692.625,Shrub,26,207,23,182,9,9,9,9,7.791529318,0.889763772,2864979.391
840,14,409,BURNT RANCH,1,40.8031297,-123.4827189,93,5,0,1,1,14_409,8007645.408,0,0,0,0,855.4615385,For,27,178,27,178,8,8,8,8,2.530353189,4.39047122,731814.4438
840,14,415,PAXTON,1,40.0402279,-120.9961818,66,15,0,1,1,14_415,5193053.848,0,0,0,0,1121.428571,For,22,331,22,331,16,16,16,16,14.33333333,3.188607216,1257602.041
840,14,416,MEADOW VALLEY,1,39.9493657,-121.0380629,66,15,0,1,1,14_416,4828350.88,0,0,0,0,1149.714286,For,48,508,47,418,11,11,11,11,3.009623379,3.509719372,1321842.939
840,14,417,LITTLE TRUCKEE,1,39.5112797,-120.1772919,66,15,0,1,1,14_417,4975786.888,0,0,0,0,2032.142857,For,35,358,35,358,8,8,8,8,1.799764276,1.762057126,4129604.592
840,14,418,FOREST HILL,1,39.0192397,-120.8263239,66,15,0,1,1,14_418,9452718.654,0,0,0,0,917.6875,For,30,262,30,262,12.5,12,11.5,12,2.350030923,4.061515808,842150.3477
840,14,419,POLLOCK PINES,1,38.7396833,-120.5734077,66,15,0,1,1,14_419,6784253.251,0,0,0,0,1111.777778,For,28,253,28,253,11,10,10,11,7.188159996,3.758858204,1236049.827
840,14,420,PLACERVILLE,1,38.7995807,-120.7242129,92,15,0,1,1,14_420,5367215.368,0,0,0,0,806.25,For,31,267,31,267,11,11,11,11.5,2.113828932,3.818220973,650039.0625
840,14,421,COULTERVILLE,1,37.7104224,-120.1968622,92,15,0,1,1,14_421,9950722.768,559804.6668,0.056257689,0,0,642.4615385,For,25,171,25,171,9,9,9,9,6.118709326,2.948695898,412756.8284
840,14,422,WAWONA,1,37.4618753,-119.7938035,92,15,0,1,1,14_422,4927788.401,0,0,0,0,893.2857143,For,30,232,30,232,12,12,12,12,10.42857143,3.777928114,797959.3673
840,14,423,PINE MOUNTAIN,1,36.0105997,-118.1213609,66,15,0,1,1,14_423,5445613.31,2249776.332,0.413135528,2002602.497,0.367745997,1898,Shrub,37,201,36,200,8,8,8,8,1,1.233636856,3602404
